city,pop,lat,lon,tz
Surin - TH,46673,14.8818,103.494,Asia/Bangkok
Susa - AZ,18662,39.7601,46.7499,Asia/Baku
Suva - FJ,77366,-18.1368,178.425,Pacific/Fiji
Suwon - KR,1191063,37.2911,127.009,Asia/Seoul
Suzhou - CN,6715559,31.3041,120.595,Asia/Shanghai
Svay Rieng - KH,23956,11.0878,105.799,Asia/Phnom_Penh
Sveti Nikole - MK,13292,41.8696,21.9527,Europe/Skopje
Swakopmund - NA,53009,-22.6784,14.5266,Africa/Windhoek
Swieqi - MT,14452,35.9215,14.48,Europe/Malta
Swords - IE,42738,53.4597,-6.21806,Europe/Dublin
Sydney - AU,5557233,-33.8678,151.207,Australia/Sydney
Syktyvkar - RU,245083,61.6639,50.8163,Europe/Moscow
Sylhet - BD,237000,24.899,91.872,Asia/Dhaka
Szczecin - PL,407811,53.4289,14.553,Europe/Warsaw
Szeged - HU,160766,46.253,20.1482,Europe/Budapest
Szekesfehervar - HU,101600,47.19,18.4103,Europe/Budapest
Szekszard - HU,34174,46.3472,18.7119,Europe/Budapest
Szolnok - HU,71285,47.1807,20.1984,Europe/Budapest
Szombathely - HU,78025,47.2309,16.6215,Europe/Budapest
Ta Khmau - KH,52066,11.4833,104.95,Asia/Phnom_Penh
Tabora - TZ,308741,-5.01622,32.8266,Africa/Dar_es_Salaam
Tabriz - IR,1424641,38.08,46.2919,Asia/Tehran
Tabuk - SA,667000,28.3998,36.5715,Asia/Riyadh
Tacna - PE,286240,-18.0146,-70.2536,America/Lima
Tacuarembo - UY,51854,-31.7188,-55.9793,America/Montevideo
Tadjoura - DJ,19533,11.7878,42.8822,Africa/Djibouti
Taguig - PH,1308085,14.5243,121.079,Asia/Manila
Tahoua - NE,159468,14.8888,5.2692,Africa/Niamey
Tai Po - HK,274100,22.4501,114.169,Asia/Hong_Kong
Tai'an - CN,1735425,36.1853,117.12,Asia/Shanghai
Taicang - CN,831113,31.4478,121.094,Asia/Shanghai
Taichung - TW,2850285,24.1469,120.684,Asia/Taipei
Tainan - TW,1856642,22.9908,120.213,Asia/Taipei
Taipei - TW,7871900,25.0531,121.526,Asia/Taipei
Taiyuan - CN,4303673,37.8694,112.56,Asia/Shanghai
Taiz - YE,940600,13.5795,44.0209,Asia/Aden
Taizhou - CN,1607108,32.4907,119.908,Asia/Shanghai
Tak - TH,24149,16.8697,99.129,Asia/Bangkok
Takamatsu - JP,418994,34.3333,134.05,Asia/Tokyo
Takeo - KH,843931,10.9908,104.785,Asia/Phnom_Penh
Talas - KG,40308,42.5226,72.2417,Asia/Bishkek
Talca - CL,197479,-35.4232,-71.6497,America/Santiago
Taldykorgan - KZ,116558,45.0156,78.3739,Asia/Almaty
Tallahassee - US,201731,30.4383,-84.2807,America/New_York
Tallinn - EE,394024,59.437,24.7535,Europe/Tallinn
Taloqan - AF,64256,36.736,69.5345,Asia/Kabul
Talsi - LV,12022,57.2456,22.5814,Europe/Riga
Tam Ky - VN,165240,15.5736,108.474,Asia/Ho_Chi_Minh
Tamale - GH,464316,9.40079,-0.8393,Africa/Accra
Tamanghasset - DZ,81752,22.785,5.52278,Africa/Algiers
Tambacounda - SN,149071,13.7707,-13.6673,Africa/Dakar
Tambov - RU,293661,52.7363,41.441,Europe/Moscow
Tampere - FI,244315,61.4991,23.7871,Europe/Helsinki
Tamuning-Tumon-Harmon Village - GU,19685,13.4877,144.781,Pacific/Guam
Tan An - VN,215250,10.5359,106.414,Asia/Ho_Chi_Minh
Tanga - TZ,393429,-5.06893,39.0988,Africa/Dar_es_Salaam
Tangerang - ID,1912679,-6.17806,106.63,Asia/Jakarta
Tangier - MA,1035141,35.7673,-5.79975,Africa/Casablanca
Tangshan - CN,3372102,39.6438,118.183,Asia/Shanghai
Tanjung Selor - ID,56569,2.8375,117.365,Asia/Makassar
Tanta - EG,576648,30.7885,31.0019,Africa/Cairo
Taraclia - MD,13512,45.9032,28.6663,Europe/Chisinau
Tarawa - KI,40311,1.3278,172.977,Pacific/Tarawa
Taraz - KZ,358153,42.898,71.3733,Asia/Almaty
Targovishte - BG,34793,43.2512,26.5722,Europe/Sofia
Targoviste - RO,66965,44.9254,25.4567,Europe/Bucharest
Targu Jiu - RO,73545,45.05,23.2833,Europe/Bucharest
Targu Mures - RO,212752,46.5425,24.5575,Europe/Bucharest
Tarija - BO,159269,-21.5355,-64.7296,America/La_Paz
Tarrafal - CV,13483,15.2788,-23.7519,Atlantic/Cape_Verde
Tartu - EE,91407,58.3806,26.7251,Europe/Tallinn
Tartus - SY,458327,34.889,35.8866,Asia/Damascus
Tashkent - UZ,1978028,41.2647,69.2163,Asia/Tashkent
Tatabanya - HU,65849,47.5925,18.381,Europe/Budapest
Tataouine - TN,66924,32.9297,10.4518,Africa/Tunis
Taunggyi - MM,160115,20.7892,97.0378,Asia/Yangon
Taurage - LT,21203,55.2522,22.2897,Europe/Vilnius
Tay Ninh - VN,135254,11.31,106.098,Asia/Ho_Chi_Minh
Tbeng Meanchey - KH,24380,13.8073,104.98,Asia/Phnom_Penh
Tbilisi - GE,1049498,41.6914,44.8341,Asia/Tbilisi
Tchibanga - GA,36108,-2.93323,10.9818,Africa/Libreville
Tearce - MK,23096,42.0759,21.0518,Europe/Skopje
Tebessa - DZ,194461,35.4042,8.12417,Africa/Algiers
Techiman - GH,84074,7.59054,-1.93947,Africa/Accra
Tegucigalpa - HN,850848,14.0818,-87.2068,America/Tegucigalpa
Tehran - IR,7153309,35.6944,51.4215,Asia/Tehran
Tekirdag - TR,122287,40.9781,27.511,Europe/Istanbul
Tel Aviv - IL,432892,32.0809,34.7806,Asia/Jerusalem
Telavi - GE,19875,41.9196,45.47,Asia/Tbilisi
Telsiai - LT,21294,55.9814,22.2472,Europe/Vilnius
Temuco - CL,238129,-38.7363,-72.5974,America/Santiago
Tena - EC,17172,-0.9961,-77.8131,America/Guayaquil
Tenkodogo - BF,61936,11.78,-0.36972,Africa/Ouagadougou
Tepic - MX,332863,21.5073,-104.893,America/Mazatlan
Teresina - BR,871126,-5.08917,-42.8019,America/Fortaleza
Ternopil - UA,225238,49.554,25.5907,Europe/Kyiv
Terter - AZ,18185,40.342,46.9316,Asia/Baku
